"strike","","","",""
1000,49.0392105608477,0,49.0392105608477,0
2000,48.0784211216954,0,48.0784211216954,0
3000,47.1176316825431,0,47.1176316825431,0
4000,46.1568422433908,0,46.1568422433908,0
5000,45.1960528042384,0,45.1960528042384,0
6000,44.2352633650861,0,44.2352633650861,0
7000,43.2744740012663,7.53324899259679e-08,43.2744740012663,7.53324899259679e-08
8000,42.313685962361,1.47557954452565e-06,42.313685962361,1.47821891985399e-06
9000,41.3529028491244,7.80149523835197e-06,41.3529028491244,7.87536112084214e-06
10000,40.3921412157566,3.56072797655196e-05,40.3921412157566,3.56893529682864e-05
11000,39.4314649415286,0.000148772204063935,39.4314649415286,0.000149859222483899
12000,38.4708807472229,0.000354017050739348,38.4708807472229,0.000355214974947266
13000,37.5107332069051,0.000995915885270504,37.5107332069051,0.00100589714604972
14000,36.5510368348889,0.00208898302138991,36.5510368348889,0.0020997908095226
15000,35.5917682921561,0.00360987944092244,35.5917682921561,0.00367491772734123
16000,34.6354564904684,0.00808751690554107,34.6354564904684,0.00815719239832985
17000,33.6791446887807,0.0125651543701597,33.6791446887807,0.0126440326646477
18000,32.7260368260755,0.020246730817294,32.7260368260755,0.0205895218239593
19000,31.7799396722801,0.0349390161742145,31.7799396722801,0.0353044105157817
20000,30.8338425184847,0.0496313015311351,30.8338425184847,0.0500356283447423
21000,29.8877453646893,0.0643235868880557,29.8877453646893,0.0655197416804644
22000,28.9659052934547,0.103272954805733,28.9659052934547,0.104777281908481
23000,28.0448412822512,0.142998382754578,28.0448412822512,0.144627637658314
24000,27.1237772710477,0.182723810703424,27.1237772710477,0.184608253338776
25000,26.2027132598442,0.222449238652269,26.2027132598442,0.227383386848004
26000,25.3319330197246,0.312458437684916,25.3319330197246,0.317809732946908
27000,24.4615671238387,0.402881980951384,24.4615671238387,0.408634302834759
28000,23.5912012279528,0.493305524217852,23.5912012279528,0.499639358598523
29000,22.720835332067,0.583729067484321,22.720835332067,0.591515677731886
30000,21.8730206972473,0.696703871816955,21.8730206972473,0.712530923157583
31000,21.0885535417613,0.873026155483284,21.0885535417613,0.889707999193677
32000,20.3040863862753,1.04934843914961,20.3040863862753,1.06727982707262
33000,19.5196192307893,1.22567072281594,19.5196192307893,1.24537802394415
34000,18.7351520753033,1.40199300648227,18.7351520753033,1.42488559148833
35000,17.9506849198173,1.5783152901486,17.9506849198173,1.60857860866951
36000,17.2446720150044,1.83309182448803,17.2446720150044,1.87699118962061
37000,16.5830040664105,2.13221331504641,16.5830040664105,2.17854876232147
38000,15.9213361178165,2.43133480560479,15.9213361178165,2.48108044311529
39000,15.2596681692226,2.73045629616317,15.2596681692226,2.78479625658382
40000,14.5980002206287,3.02957778672155,14.5980002206287,3.09004460308586
41000,13.9363322720347,3.32869927727993,13.9363322720347,3.39933260421651
42000,13.2746643234408,3.62782076783831,13.2746643234408,3.72841024024255
43000,12.7547611415217,4.06870702507158,12.7547611415217,4.17818178589541
44000,12.2420459066051,4.51678122930733,12.2420459066051,4.63223021954567
45000,11.7293306716886,4.96485543354307,11.7293306716886,5.08801345778821
46000,11.216615436772,5.41292963777882,11.216615436772,5.54608515266487
47000,10.7039002018554,5.86100384201456,10.7039002018554,6.00538489550687
48000,10.1911849669388,6.3090780462503,10.1911849669388,6.47060530949963
49000,9.67846973202223,6.75715225048605,9.67846973202223,6.94179677363058
50000,9.16575449710566,7.2052264547218,9.16575449710566,7.44059534837406
51000,8.80682923968344,7.8070906364519,8.80682923968344,8.05435831255362
52000,8.44790398226122,8.408954818182,8.44790398226122,8.66848362171861
53000,8.088978724839,9.01081899991211,8.088978724839,9.28526777703782
54000,7.73005346741678,9.61268318164221,7.73005346741678,9.90480802685346
55000,7.37112820999455,10.2145473633723,7.37112820999455,10.5276258962185
56000,7.01220295257234,10.8164115451024,7.01220295257234,11.1529383846866
57000,6.65327769515012,11.4182757268325,6.65327769515012,11.7861710524698
58000,6.29435243772789,12.0201399085626,6.29435243772789,12.4242355624843
59000,5.93542718030567,12.6220040902927,5.93542718030567,13.0789283655236
60000,5.65017071784266,13.297537066982,5.65017071784266,13.8048221999637
61000,5.42654098612247,14.0346967744142,5.42654098612247,14.5649144578751
62000,5.20291125440227,14.7718564818463,5.20291125440227,15.3275986097943
63000,4.97928152268208,15.5090161892784,4.97928152268208,16.0932567720921
64000,4.75565179096188,16.2461758967106,4.75565179096188,16.8617257227389
65000,4.53202205924168,16.9833356041427,4.53202205924168,17.6333599454801
66000,4.30839232752149,17.7204953115748,4.30839232752149,18.4092867504498
67000,4.08476259580129,18.4576550190069,4.08476259580129,19.191767264206
68000,3.86113286408109,19.1948147264391,3.86113286408109,19.983036941364
69000,3.6375031323609,19.9319744338712,3.6375031323609,20.7800011353269
70000,3.4138734006407,20.6691341413033,3.4138734006407,21.5878753651986
71000,3.2207264593284,21.4367766391433,3.2207264593284,22.4301433785551
72000,3.09840982460282,22.2752494435701,3.09840982460282,23.3065455280465
73000,2.97609318987723,23.1137222479968,2.97609318987723,24.1854307906938
74000,2.85377655515165,23.9521950524236,2.85377655515165,25.0685282783019
75000,2.73145992042607,24.7906678568503,2.73145992042607,25.9594500054525
76000,2.60914328570049,25.629140661277,2.60914328570049,26.852486582064
77000,2.4868266509749,26.4676134657038,2.4868266509749,27.7469708199153
78000,2.36451001624932,27.3060862701305,2.36451001624932,28.6456179386811
79000,2.24219338152374,28.1445590745573,2.24219338152374,29.5465905371865
80000,2.11987674679816,28.983031878984,2.11987674679816,30.4542569433491
81000,1.99756011207257,29.8215046834107,1.99756011207257,31.3710017067733
82000,1.87524347734699,30.6599774878375,1.87524347734699,32.303125659444
83000,1.75292684262141,31.4984502922642,1.75292684262141,33.2420321326744
84000,1.63061020789582,32.336923096691,1.63061020789582,34.1867662961026
85000,1.56822125820357,33.2353235861511,1.56822125820357,35.1483777397038
86000,1.51027585821219,34.138167625312,1.51027585821219,36.1108164462064
87000,1.45233045822081,35.0410116644729,1.45233045822081,37.0757279243583
88000,1.39438505822943,35.9438557036339,1.39438505822943,38.0421153565709
89000,1.33643965823804,36.8466997427948,1.33643965823804,39.0150209863889
90000,1.27849425824666,37.7495437819558,1.27849425824666,40
91000,1.22054885825528,38.6523878211167,1.22054885825528,41
92000,1.1626034582639,39.5552318602776,1.1626034582639,42
93000,1.10465805827252,40.4580758994386,1.10465805827252,43
94000,1.04671265828114,41.3609199385995,1.04671265828114,44
95000,0.988767258289755,42.2637639777605,0.988767258289755,45
96000,0.930821858298374,43.1666080169214,0.930821858298374,46
